Player_Name,Batting_Average,Batting_Strike_Rate,Bowling_Average,Economy_Rate,Bowling_Strike_Rate,Matches_Batted,Not_Outs,Runs_Scored,Balls_Faced,Half_Centuries,Fours,Sixes,Matches_Bowled,Balls_Bowled,Runs_Conceded,Wickets_Taken,Four_Wicket_Hauls,Player_Role,Fantasy_Points_Per_Match
T Natarajan,0.0,10.0,32.955000000000005,8.709999999999999,22.481666666666666,48.0,3.0,3.0,5.0,0.0,0.0,0.0,48.0,1053.0,1536.0,51.0,0.0,Bowler,26.625
Tim David,18.7175,129.4575,0.0,0.0,0.0,26.0,9.0,429.0,245.0,0.0,25.0,31.0,25.0,0.0,0.0,0.0,0.0,Batsman,20.0
Tom Curran,37.22,113.17666666666666,38.33,10.736666666666666,21.16333333333333,13.0,5.0,127.0,107.0,1.0,10.0,3.0,13.0,238.0,430.0,13.0,0.0,Bowler,37.07692307692308
Travis Head,28.6,137.405,20.25,5.06,12.0,10.0,3.0,205.0,148.0,1.0,12.0,8.0,10.0,48.0,81.0,2.0,0.0,Bowler,31.5
Trent Boult,4.3,51.472,28.865999999999996,8.541,20.185,89.0,16.0,69.0,62.0,0.0,3.0,3.0,89.0,2041.0,2822.0,107.0,1.0,Bowler,31.089887640449437
Tristan Stubbs,6.166666666666667,64.38333333333334,4.666666666666667,2.3333333333333335,4.0,5.0,0.0,32.0,43.0,0.0,2.0,0.0,5.0,12.0,14.0,1.0,0.0,Bowler,15.4
Tushar Deshpande,5.25,43.75,38.465,10.49,23.06,25.0,2.0,21.0,13.0,0.0,2.0,1.0,25.0,509.0,866.0,25.0,0.0,Bowler,26.08
Umesh Yadav,8.321428571428571,79.14,42.59142857142857,9.003571428571428,28.050714285714285,142.0,30.0,196.0,186.0,0.0,16.0,8.0,143.0,2954.0,4144.0,138.0,3.0,Bowler,25.93006993006993
Umran Malik,7.666666666666667,95.83333333333333,37.193333333333335,9.293333333333333,24.47,25.0,4.0,23.0,16.0,0.0,1.0,2.0,25.0,487.0,757.0,29.0,1.0,Bowler,30.84
Vaibhav Arora,1.25,94.23,41.935,9.165,27.435000000000002,10.0,4.0,8.0,15.0,0.0,0.0,0.0,10.0,203.0,310.0,8.0,0.0,Bowler,20.8
Varun Chakaravarthy,1.3333333333333333,32.406666666666666,35.43333333333333,9.248333333333333,22.968333333333334,57.0,8.0,25.0,46.0,0.0,2.0,0.0,57.0,1312.0,1655.0,63.0,1.0,Bowler,28.350877192982455
Venkatesh Iyer,23.38,130.5025,5.75,4.9025,4.25,37.0,2.0,963.0,739.0,7.0,87.0,42.0,37.0,75.0,115.0,3.0,0.0,Bowler,34.891891891891895
Vijay Shankar,22.45111111111111,105.69888888888889,20.203333333333333,7.184444444444444,13.305555555555555,66.0,15.0,1038.0,792.0,6.0,73.0,43.0,66.0,238.0,344.0,9.0,0.0,Bowler,22.515151515151516
Virat Kohli,38.112941176470585,128.23882352941177,5.882352941176471,3.995882352941176,4.352941176470588,239.0,34.0,7361.0,5655.0,51.0,654.0,237.0,239.0,251.0,368.0,4.0,0.0,Bowler,37.75313807531381
Vishnu Vinod,9.33,96.21,0.0,0.0,0.0,6.0,0.0,56.0,57.0,0.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,Batsman,10.833333333333334
Vyshak Vijay Kumar,13.0,144.44,28.11,10.54,16.0,7.0,1.0,13.0,9.0,0.0,0.0,1.0,7.0,144.0,253.0,9.0,0.0,Bowler,34.285714285714285
Wanindu Hasaranga,7.6433333333333335,85.41000000000001,15.07,8.813333333333334,10.826666666666666,26.0,4.0,72.0,73.0,0.0,7.0,1.0,26.0,552.0,748.0,35.0,1.0,Bowler,37.69230769230769
Washington Sundar,12.405714285714286,101.22142857142856,36.385714285714286,7.7299999999999995,28.404285714285713,58.0,12.0,378.0,324.0,0.0,32.0,9.0,58.0,1024.0,1252.0,36.0,0.0,Bowler,23.06896551724138
Wriddhiman Saha,27.51,125.25117647058823,0.0,0.0,0.0,162.0,24.0,2817.0,2200.0,13.0,282.0,84.0,158.0,0.0,0.0,0.0,0.0,Batsman,20.833333333333332
Yash Dayal,0.0,0.0,44.97,9.443333333333333,26.816666666666666,16.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,318.0,512.0,15.0,0.0,Bowler,23.4375
Yash Dhull,5.33,69.57,0.0,0.0,0.0,4.0,0.0,16.0,23.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,Unknown,3.25
Yash Thakur,0.0,0.0,11.115,11.705,7.345,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,209.0,332.0,13.0,1.0,Bowler,33.5
Yashasvi Jaiswal,27.221999999999998,147.142,0.0,7.2,0.0,38.0,1.0,1196.0,800.0,8.0,147.0,49.0,38.0,1.0,6.0,0.0,0.0,Batsman,39.71052631578947
Yudhvir Singh,0.5,50.0,23.33,8.75,16.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,48.0,70.0,3.0,0.0,Bowler,26.666666666666668
Yuzvendra Chahal,1.1108333333333333,35.03,20.825,7.803333333333334,16.335833333333333,146.0,13.0,37.0,86.0,0.0,0.0,0.0,146.0,3191.0,4081.0,188.0,6.0,Bowler,32.842465753424655
